trap,time,total_objs,mCell,dCell,exCell,com
10,184,0,NA,NA,NA,0
10,185,0,NA,NA,NA,0
10,186,0,NA,NA,NA,0
10,187,0,NA,NA,NA,0
10,188,0,NA,NA,NA,0
10,189,0,NA,NA,NA,0
10,190,0,NA,NA,NA,0
10,191,0,NA,NA,NA,0
10,192,0,NA,NA,NA,0
10,193,0,NA,NA,NA,0
10,194,1,NA,NA,NA,0
10,195,1,1,NA,NA,1
10,196,2,1,NA,NA,2
10,197,2,1,2,NA,0
10,198,2,1,2,NA,0
10,199,2,1,2,NA,0
10,200,2,1,2,NA,0
10,201,2,1,2,NA,0
10,202,2,1,2,NA,0
10,203,2,1,2,NA,0
10,204,2,1,2,NA,0
10,205,2,1,2,NA,0
10,206,3,1,2,NA,0
10,207,2,1,2,3,1
10,208,2,1,2,NA,0
10,209,2,1,2,NA,0
10,210,2,1,2,NA,0
10,211,2,1,2,NA,0
10,212,2,1,2,NA,0
10,213,2,1,2,NA,0
10,214,1,1,2,NA,0
10,215,2,1,NA,NA,1
10,216,2,1,2,NA,0
10,217,2,1,2,NA,0
10,218,2,1,2,NA,0
10,219,2,1,2,NA,0
10,220,2,1,2,NA,0
10,221,2,1,2,NA,0
10,222,2,1,2,NA,0
10,223,1,1,NA,NA,1
10,224,1,1,NA,NA,2
10,225,2,1,NA,NA,3
10,226,2,1,2,NA,0
10,227,2,1,2,NA,0
10,228,2,1,2,NA,0
10,229,2,1,2,NA,0
10,230,2,1,2,NA,0
10,231,2,1,2,NA,0
10,232,2,1,2,NA,0
10,233,2,1,2,NA,0
10,234,1,1,NA,NA,1
10,235,2,1,NA,NA,2
10,236,2,1,2,NA,0
10,237,2,1,2,NA,0
10,238,2,1,2,NA,0
10,239,2,1,2,NA,0
10,240,2,1,2,NA,0
10,241,2,1,2,NA,0
10,242,2,1,2,NA,0
10,243,2,1,2,NA,0
10,244,2,1,2,NA,0
10,245,2,1,2,NA,1
10,246,2,1,2,NA,0
10,247,2,1,2,NA,0
10,248,2,1,2,NA,0
10,249,2,1,2,NA,0
10,250,2,1,2,NA,0
10,251,2,1,2,NA,0
10,252,2,1,2,NA,0
10,253,2,1,2,NA,0
10,254,2,1,2,NA,0
10,255,2,1,2,NA,0
10,256,2,1,2,NA,0
10,257,2,1,2,NA,0
10,258,1,1,NA,NA,1
10,259,1,1,NA,NA,2
10,260,1,1,NA,NA,3
10,261,1,1,NA,NA,4
10,262,1,1,NA,NA,5
10,263,2,1,NA,NA,6
10,264,2,1,2,NA,0
10,265,2,1,2,NA,0
10,266,2,1,2,NA,0
10,267,2,1,2,NA,0
10,268,2,1,2,NA,0
10,269,2,1,2,NA,0
10,270,2,1,2,NA,0
10,271,1,1,NA,NA,1
10,272,1,1,NA,NA,2
10,273,1,1,NA,NA,3
10,274,1,1,NA,NA,4
10,275,1,1,NA,NA,5
10,276,1,1,NA,NA,6
10,277,1,1,NA,NA,7
10,278,1,1,NA,NA,8
10,279,1,1,NA,NA,9
10,280,1,1,NA,NA,10
10,281,1,1,NA,NA,11
10,282,1,1,NA,NA,12
10,283,1,1,NA,NA,13
10,284,1,1,NA,NA,14
10,285,1,1,NA,NA,15
10,286,1,1,NA,NA,16
10,287,1,1,NA,NA,17
10,288,1,1,NA,NA,18
10,289,1,1,NA,NA,19
10,290,1,1,NA,NA,20
10,291,1,1,NA,NA,21
10,292,1,1,NA,NA,22
10,293,1,1,NA,NA,23
10,294,1,1,NA,NA,24
10,295,1,1,NA,NA,25
