time,total_objs,dist,area
104,4,5.385164807,85
104,4,15.5241747,44
105,4,20.80865205,38
105,4,19.41648784,71
105,4,7.280109889,85
105,4,15.8113883,51
106,4,22.20360331,44
106,4,20.22374842,71
106,4,7.071067812,95
106,4,17.72004515,57
107,4,22.20360331,50
107,4,19.23538406,79
107,4,7.071067812,95
107,4,17.08800749,71
108,4,20.80865205,63
108,4,20.09975124,87
108,4,8.062257748,95
108,4,19.6977156,50
109,3,18.38477631,71
109,3,6.08276253,78
109,3,18.24828759,70
110,3,19.31320792,78
110,3,7.071067812,85
110,3,20.09975124,78
111,4,21.1896201,63
111,4,11.04536102,87
111,4,23.08679276,71
111,4,20.59126028,38
112,4,22.8035085,44
112,4,16.76305461,57
112,4,6.08276253,78
112,4,15.5241747,51
113,4,22.6715681,57
113,4,17.72004515,57
113,4,6,87
113,4,15.8113883,64
114,4,23.43074903,57
114,4,18.43908891,57
114,4,6,95
114,4,17.72004515,64
115,4,22.6715681,55
115,4,18.68154169,57
115,4,5.099019514,104
115,4,15.5241747,71
116,3,16.76305461,79
116,3,5.099019514,95
116,3,15.5241747,71
117,4,25.8069758,44
117,4,20.39607805,63
117,4,10.19803903,87
117,4,20.61552813,71
118,4,25.8069758,51
118,4,20.39607805,85
118,4,8.062257748,95
118,4,17.08800749,24
119,4,27.01851217,57
119,4,21.58703314,78
119,4,10.04987562,96
119,4,18.02775638,44
120,4,26.87005769,57
120,4,24.69817807,95
120,4,13,87
120,4,20.61552813,51
121,4,26.40075756,57
121,4,22.84731932,95
121,4,10.19803903,103
121,4,19.31320792,63
122,4,25,64
122,4,21.1896201,87
122,4,9,104
122,4,19.6977156,57
123,3,20.39607805,76
123,3,8.062257748,104
123,3,19.6468827,78
124,2,14.31782106,95
124,2,3.16227766,79
125,3,23.34523506,33
125,3,5.099019514,114
125,3,16.1245155,103
126,4,23.34523506,51
126,4,7.071067812,104
126,4,17.4642492,99
126,4,-2,28
127,4,26.17250466,57
127,4,7.071067812,96
127,4,-3,29
127,4,17.2626765,92
128,4,9,104
128,4,-1.414213562,44
128,4,29.06888371,64
128,4,20.24845673,99
129,4,11,104
129,4,0,57
129,4,30.59411708,64
129,4,21.9317122,85
130,3,12.04159458,104
130,3,0,57
130,3,21.9317122,85
131,3,12.04159458,95
131,3,1,51
131,3,22.47220505,70
132,4,12,104
132,4,1,57
132,4,27.29468813,28
132,4,21.9317122,70
133,1,3,39
134,2,1.414213562,44
134,2,7.280109889,33
135,2,2,44
135,2,10.44030651,39
136,2,2.236067977,44
136,2,10.19803903,39
137,2,2,51
137,2,12.16552506,50
138,2,2.236067977,57
138,2,12.04159458,50
139,2,3,64
139,2,12.16552506,57
140,2,3.16227766,64
140,2,13,50
141,2,12.16552506,57
141,2,2,64
142,2,11.18033989,44
142,2,2,44
143,3,12.36931688,55
143,3,3,39
143,3,11.18033989,44
144,3,13.60147051,71
144,3,1,44
144,3,10.19803903,39
145,3,16.4924225,57
145,3,1,51
145,3,10.04987562,39
146,3,18.02775638,70
146,3,1,57
146,3,10.04987562,33
147,2,2,57
147,2,12.36931688,51
148,2,13.15294644,71
148,2,2,57
149,3,12.36931688,57
149,3,2.236067977,57
149,3,9.486832981,38
150,2,11.40175425,50
150,2,1,44
151,3,13.15294644,70
151,3,1,51
151,3,10.44030651,29
152,3,16.4924225,51
152,3,2,57
152,3,12.04159458,39
153,3,15.29705854,51
153,3,2,51
153,3,11.40175425,39
154,3,17.72004515,57
154,3,1.414213562,57
154,3,11.70469991,51
155,2,3.16227766,57
155,2,14.31782106,64
156,2,2,71
156,2,14.14213562,64
157,2,14.03566885,79
157,2,4,64
158,3,15.13274595,70
158,3,3,64
158,3,10.44030651,24
159,3,15.5241747,57
159,3,1,79
159,3,10.19803903,39
160,3,17.72004515,57
160,3,3.16227766,78
160,3,12.04159458,39
161,3,17.72004515,70
161,3,2,64
161,3,11.40175425,51
162,2,3,64
162,2,13.34166406,57
163,2,2.236067977,63
163,2,14.14213562,64
164,3,15.29705854,57
164,3,3,57
164,3,11.40175425,29
165,2,14.14213562,63
165,2,2,51
166,3,16.4924225,51
166,3,2,57
166,3,12.16552506,39
167,3,17.72004515,57
167,3,2,87
167,3,12.04159458,50
168,2,2,79
168,2,13.03840481,57
169,2,2,79
169,2,14.14213562,57
170,2,13,71
170,2,3,64
171,2,14.14213562,51
171,2,4,57
172,3,14.31782106,64
172,3,3.16227766,64
172,3,12.36931688,28
173,3,16.76305461,64
173,3,2.236067977,79
173,3,12.36931688,39
174,2,2.828427125,71
174,2,11.18033989,38
175,2,3.16227766,71
175,2,13.15294644,50
176,2,3,79
176,2,13.34166406,57
177,2,4,71
177,2,15.13274595,50
178,2,3,64
178,2,13.15294644,44
179,2,13.34166406,51
179,2,3.16227766,57
180,3,14.31782106,51
180,3,4,71
180,3,11.70469991,33
181,3,16.76305461,57
181,3,4,71
181,3,13.15294644,39
182,3,16.76305461,57
182,3,3,79
182,3,13.15294644,44
183,3,18.02775638,57
183,3,2,79
183,3,13.15294644,64
184,2,2,96
184,2,13.15294644,64
185,2,3.16227766,71
185,2,14.14213562,51
186,3,15.29705854,51
186,3,5.099019514,64
186,3,12.16552506,29
187,3,15.5241747,50
187,3,4,79
187,3,12.64911064,29
188,2,3,79
188,2,13.15294644,44
189,2,2.236067977,79
189,2,12.04159458,57
190,2,3.16227766,79
190,2,13.34166406,57
191,2,2,87
191,2,14.14213562,64
192,2,4,87
192,2,16.2788206,64
193,2,3.16227766,71
193,2,15.13274595,79
194,2,3,71
194,2,10.44030651,29
195,2,4,79
195,2,13.60147051,33
196,2,4,96
196,2,14.31782106,44
197,2,4,96
197,2,15.5241747,57
198,2,4,87
198,2,16.2788206,57
199,2,5,96
199,2,16.4924225,70
200,2,4,96
200,2,16.2788206,71
201,2,5,96
201,2,17.4642492,71
202,3,2.236067977,79
202,3,11.40175425,29
202,3,15.29705854,71
203,3,12.36931688,33
203,3,2,79
203,3,15.29705854,71
204,2,4,87
204,2,15,51
205,2,15.13274595,64
205,2,4,95
206,2,15,64
206,2,5.099019514,87
207,2,17.11724277,71
207,2,6,96
208,2,16.4924225,57
208,2,5,87
209,2,16.4924225,57
209,2,4,87
210,3,16.2788206,57
210,3,5.099019514,96
210,3,13.60147051,29
211,3,16.76305461,57
211,3,4.123105626,87
211,3,12.36931688,29
212,2,5.099019514,79
212,2,15.13274595,44
213,2,6,96
213,2,16.2788206,44
214,3,16.76305461,43
214,3,4.123105626,79
214,3,16.2788206,43
215,3,14.14213562,43
215,3,3.16227766,70
215,3,13.34166406,51
216,3,14.31782106,43
216,3,2.236067977,55
216,3,12.36931688,38
217,3,14.31782106,32
217,3,13.60147051,38
218,2,13.34166406,43
218,2,12.64911064,38
219,3,14.31782106,33
219,3,15.29705854,33
220,3,14.56021978,50
220,3,4.123105626,57
220,3,13.34166406,28
221,2,15.5241747,51
221,2,14.56021978,33
222,3,18.68154169,39
222,3,15.29705854,33
223,3,18.68154169,50
223,3,15.5241747,33
224,3,19.6468827,44
224,3,15.29705854,44
225,2,2.828427125,55
225,2,13.15294644,51
226,2,2.236067977,61
226,2,12.16552506,33
227,2,2.236067977,61
227,2,12.16552506,33
228,2,3.16227766,63
228,2,14.14213562,39
229,2,3,63
229,2,12.64911064,38
230,2,3.16227766,64
230,2,12.36931688,33
231,2,3.16227766,64
231,2,12.36931688,38
232,3,1,55
232,3,11.40175425,33
233,2,1.414213562,55
233,2,11.40175425,33
234,2,3.16227766,63
234,2,13.60147051,33
235,2,2.236067977,55
235,2,12.36931688,44
236,2,1.414213562,63
236,2,11.18033989,33
237,2,1.414213562,55
237,2,12.16552506,33
238,2,2.236067977,55
238,2,13.34166406,33
239,2,1.414213562,55
239,2,12.36931688,33
240,2,2.236067977,50
240,2,11.18033989,39
241,2,3.16227766,63
241,2,12.64911064,33
242,2,1.414213562,63
242,2,11.70469991,33
243,2,1,63
243,2,12.36931688,33
244,2,3,63
244,2,13.34166406,38
245,2,1,63
245,2,11.40175425,38
246,2,1.414213562,63
246,2,11.40175425,38
247,2,2,57
247,2,11.40175425,33
248,2,3,57
248,2,12.36931688,33
249,2,2,55
249,2,12.36931688,33
250,2,3,51
250,2,12.16552506,33
251,2,1,50
251,2,9.486832981,38
252,2,2,63
252,2,11.18033989,33
253,2,2,57
253,2,11.18033989,39
254,3,2.236067977,57
254,3,-1,29
254,3,10.19803903,33
255,2,1,63
255,2,11.40175425,33
256,2,2.236067977,50
256,2,10.19803903,33
257,2,2.236067977,57
257,2,12.16552506,33
258,2,2.236067977,57
258,2,11.40175425,44
259,2,1.414213562,61
259,2,11.18033989,33
260,2,2,55
260,2,11.18033989,33
261,2,2.236067977,57
261,2,11.40175425,33
262,2,3,57
262,2,12.16552506,33
263,2,1,55
263,2,11.18033989,39
264,2,1,63
264,2,11.18033989,33
265,2,3,57
265,2,11.18033989,33
266,2,2.236067977,61
266,2,11.18033989,38
267,2,2.236067977,50
267,2,10.19803903,38
268,2,1,55
268,2,10.44030651,44
269,2,3.16227766,50
269,2,11.18033989,38
270,2,1,55
270,2,11.18033989,33
271,2,1.414213562,57
271,2,9.219544457,38
272,2,3.16227766,63
272,2,11.40175425,44
273,2,2.236067977,50
273,2,10.19803903,44
274,2,1,51
274,2,9.219544457,38
