Time,X,Y,Area
195,30,42,51
196,30,31,64
196,31,43,51
197,29,31,71
197,29,43,71
198,31,31,79
199,30,29,71
199,31,37,20
200,31,30,71
200,31,39,33
201,30,31,64
201,30,41,33
202,29,30,71
202,29,41,39
203,31,30,71
203,31,41,51
204,30,30,87
204,30,42,57
205,31,30,71
206,30,30,57
206,31,37,24
207,31,30,63
207,31,39,33
208,31,29,63
208,31,39,39
209,31,30,63
209,30,40,39
210,31,30,71
210,30,42,51
211,30,32,79
211,30,43,57
212,30,30,79
212,30,42,57
213,30,30,71
213,31,38,24
214,30,30,78
214,31,39,33
215,30,29,63
215,30,39,33
216,29,32,63
216,29,43,51
217,29,30,71
217,30,42,51
218,30,31,87
218,30,43,57
219,30,28,96
220,31,29,78
220,31,39,24
221,30,30,71
221,30,41,39
222,30,29,64
222,30,41,44
223,30,30,71
223,31,42,51
224,30,30,79
224,30,41,51
225,30,31,79
225,29,43,71
226,28,29,96
227,30,30,87
228,30,30,79
228,31,38,33
229,29,29,87
229,29,40,44
230,29,30,79
230,29,42,44
231,29,30,79
231,29,42,44
232,30,29,78
232,30,41,57
233,29,30,95
233,29,42,50
234,31,28,87
235,31,28,78
235,31,39,29
236,31,30,79
236,31,41,38
237,30,30,79
237,31,42,51
238,31,31,79
238,30,43,63
239,31,30,79
239,31,43,71
240,30,30,87
240,29,43,78
241,31,29,95
241,31,43,87
242,30,28,87
243,30,29,79
244,30,27,64
244,31,38,33
245,30,29,71
245,30,40,44
246,29,28,64
246,29,40,44
247,30,29,87
247,31,42,51
248,30,29,104
249,30,30,104
250,29,28,87
250,30,37,28
251,29,27,96
251,30,37,29
252,30,23,95
252,29,34,44
253,31,22,114
253,31,33,57
254,29,23,113
254,29,33,64
255,29,23,113
255,30,35,51
256,30,23,113
256,31,34,51
257,29,21,143
257,31,34,57
258,27,27,29
258,31,18,132
258,29,35,44
259,30,25,44
259,32,33,51
259,35,16,121
259,32,42,29
260,28,25,57
260,31,33,44
260,35,14,130
260,31,41,39
261,28,25,51
261,30,34,51
261,30,44,44
261,35,16,123
262,29,24,51
262,31,33,57
262,31,44,39
262,36,15,132
263,29,25,57
263,31,34,57
263,30,44,44
263,37,15,132
264,28,23,57
264,29,44,57
264,29,34,63
264,36,14,114
265,27,21,38
265,30,42,64
265,30,32,55
265,35,14,132
266,27,19,63
266,30,43,51
266,30,32,63
266,37,13,121
266,34,24,29
267,30,30,51
267,29,41,50
268,30,30,44
268,30,38,16
269,30,31,39
269,30,40,24
270,30,31,39
270,30,40,39
271,30,32,51
271,30,41,39
272,30,31,39
272,30,41,39
273,31,32,51
273,30,41,39
274,29,32,51
274,29,42,39
275,30,41,44
275,30,32,57
276,29,42,57
276,30,32,57
277,30,43,71
277,30,32,64
278,31,31,51
279,30,31,44
280,31,31,44
280,30,40,24
281,30,41,44
281,30,32,51
282,30,32,57
282,30,41,33
283,31,30,44
283,30,40,39
284,29,33,57
284,30,42,44
285,30,32,57
285,30,43,57
286,31,41,50
286,31,32,57
287,29,32,64
288,30,32,51
289,30,30,50
290,30,31,51
290,29,39,24
291,30,32,57
291,31,40,33
292,31,32,51
292,31,41,33
293,31,31,57
293,30,40,39
294,30,31,57
294,30,41,44
295,31,32,63
295,30,41,44
296,30,31,64
296,30,41,44
297,30,32,71
297,31,43,51
298,30,30,71
298,29,42,57
299,30,30,64
299,31,41,51
300,29,31,71
301,28,31,57
302,29,31,63
302,28,38,24
303,30,30,50
303,31,39,24
304,30,31,71
304,31,40,29
305,30,29,55
305,30,39,29
306,30,31,57
306,31,40,33
307,30,30,57
307,30,39,39
308,30,32,57
308,30,41,39
309,31,31,64
309,31,41,39
310,30,30,57
310,30,39,39
311,30,31,71
311,30,41,44
312,29,31,64
312,30,43,64
313,30,43,71
313,30,31,64
314,30,30,71
315,30,30,71
316,30,31,71
317,30,30,87
318,29,31,79
319,31,31,79
320,29,31,57
321,30,31,57
321,33,24,24
322,29,30,64
322,33,23,29
323,30,31,64
323,33,24,33
324,29,30,64
324,33,23,33
325,30,30,64
325,33,22,33
326,29,30,64
326,33,22,33
327,30,30,71
327,33,22,39
328,27,23,39
328,30,31,64
329,27,22,39
329,31,30,71
330,27,22,44
330,31,30,71
331,28,22,51
331,31,31,71
332,28,21,51
332,30,31,79
333,28,22,39
333,31,31,71
334,27,23,51
334,30,32,79
335,27,21,44
335,30,30,87
336,27,22,44
336,30,31,87
337,28,22,51
337,31,31,79
338,27,20,39
338,30,29,64
339,27,22,44
339,30,31,63
340,27,22,39
340,30,31,51
340,34,23,22
341,28,22,33
341,31,31,57
341,35,23,33
342,27,21,44
342,30,30,78
343,26,23,33
343,29,32,71
344,27,22,33
344,30,31,71
345,27,21,44
345,30,30,71
346,27,22,44
346,30,30,64
347,27,21,44
347,31,31,79
348,27,21,44
348,30,30,79
349,26,21,44
349,30,30,79
350,28,21,57
350,30,31,96
351,27,20,44
351,30,30,79
352,30,30,96
353,29,30,87
354,29,29,104
355,30,30,87
356,29,30,87
357,30,29,96
358,29,30,87
359,30,30,96
360,29,30,96
361,30,29,104
362,29,30,96
363,29,30,96
364,29,29,96
365,29,29,96
366,31,28,104
367,30,28,96
