number,Time,X,Y,Area
263,28,21,94.5,620
264,28,55,72.5,1422
265,28,70,47,560
266,28,76.5,19,798
267,28,102,10,480
268,29,60.5,60.5,14641
269,29,26,21,504
270,29,36.5,11,374
271,29,24,54,836
272,29,19,94.5,660
273,29,51.5,72,546
274,29,52.5,101.5,651
275,29,53,44,364
276,29,69.5,46.5,507
277,29,74,22,792
278,29,96.5,12.5,575
279,30,60.5,60.5,14641
280,30,37.5,11.5,345
281,30,24.5,16.5,627
282,30,24,56,988
283,30,20.5,98,798
284,30,53.5,102.5,945
285,30,53.5,69,588
286,30,51.5,45.5,527
287,30,68,50.5,444
288,30,75,21,840
289,30,96,13.5,540
290,31,36,14.5,432
291,31,22.5,15.5,475
292,31,22,53,1216
293,31,21,97.5,744
294,31,56,102,1020
295,31,53,70.5,594
296,31,51,44.5,580
297,31,69,48.5,492
298,31,75.5,21,714
299,31,92,13,468
300,32,89.5,9.5,437
301,32,73.5,22.5,561
302,32,67,45.5,496
303,32,52.5,46,544
304,32,51.5,72.5,525
305,32,52,102,720
306,32,19,98,768
307,32,15,54,672
308,32,29.5,54.5,527
309,32,25.5,16,308
310,32,37,14,448
311,33,87,9.5,380
312,33,69,15,392
313,33,67,44,544
314,33,52,41,432
315,33,50,70,728
316,33,55,100,960
317,33,19.5,99.5,725
318,33,30,55.5,350
319,33,15.5,54,850
320,33,25,13.5,350
321,33,40,12.5,450
322,34,84,10,440
323,34,64,20,560
324,34,68.5,52,630
325,34,51.5,42.5,595
326,34,50,69.5,600
327,34,55.5,103,1044
328,34,18,99,572
329,34,29.5,54,390
330,34,15.5,54.5,765
331,34,38,10.5,294
332,34,26,13.5,378
333,35,83,11.5,414
334,35,65,34,580
335,35,48.5,51,1140
336,35,51,101,884
337,35,18,101.5,630
338,35,14,55.5,612
339,35,26.5,55.5,429
340,35,25,16,320
341,35,35.5,13,442
342,36,82,13.5,486
343,36,64.5,35,638
344,36,49.5,54,952
345,36,53.5,103.5,899
346,36,19,104,484
347,36,28,56,360
348,36,15,57.5,784
349,36,30,14.5,550
350,37,81.5,13,442
351,37,61,19.5,528
352,37,48,40.5,560
353,37,64.5,55.5,731
354,37,47.5,71.5,483
355,37,55.5,100,812
356,37,17,102.5,522
357,37,26.5,57,630
358,37,12,55,700
359,37,31,14,560
