,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44276,19575,51,25,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B,2,2
44277,19576,51,26,2,1,cell,96%,29,31,9,8,57,3.16227766,31.01612484,A,2,2
44278,19576,51,26,2,2,cell,96%,30,42,8,9,57,-8,42,B,2,1
44279,19577,51,27,2,1,cell,96%,29,30,9,7,50,4.123105626,30.01666204,A,2,NA
44280,19577,51,27,2,2,cell,94%,29,39,6,6,29,-5.099019514,39.01281841,B,1,2
44281,19578,51,28,2,1,cell,96%,29,30,9,7,50,4.123105626,30.01666204,A,2,NA
44282,19578,51,28,2,2,cell,95%,29,39,7,7,39,-5.099019514,39.01281841,B,2,2
44283,19579,51,29,2,1,cell,96%,29,31,10,8,63,3.16227766,31.01612484,A,2,NA
44284,19579,51,29,2,2,cell,96%,29,42,8,8,51,-8.062257748,42.01190308,B,2,2
44285,19580,51,30,2,1,cell,96%,28,30,9,9,64,4.472135955,30.06659276,A,2,NA
44286,19580,51,30,2,2,cell,95%,29,41,8,8,51,-7.071067812,41.01219331,B,2,2
44287,19581,51,31,2,1,cell,96%,29,31,10,10,79,3.16227766,31.01612484,A,2,NA
44288,19581,51,31,2,2,cell,95%,29,41,8,9,57,-7.071067812,41.01219331,B,2,2
44289,19582,51,32,2,1,cell,97%,28,29,9,9,64,5.385164807,29.06888371,A,2,2
44290,19582,51,32,2,2,cell,97%,29,41,9,10,71,-7.071067812,41.01219331,B,2,NA
44291,19583,51,33,2,1,cell,96%,29,29,10,7,55,5.099019514,29.01723626,A,1,NA
44292,19583,51,33,2,2,cell,81%,29,37,5,5,20,-3.16227766,37.01351105,B,1,3
44293,19584,51,34,3,1,cell,96%,28,21,9,9,64,13.15294644,21.09502311,A,2,NA
44294,19584,51,34,3,2,cell,97%,30,31,10,8,63,3,31,A,2,NA
44295,19584,51,34,3,3,cell,96%,30,40,6,6,29,-6,40,B,2,3
44296,19585,51,35,3,1,cell,95%,27,21,9,9,64,13.34166406,21.21320344,A,3,NA
44297,19585,51,35,3,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A,3,NA
44298,19585,51,35,3,3,cell,95%,28,42,7,8,44,-8.246211251,42.04759208,B,3,3
44299,19586,51,36,3,1,cell,97%,27,20,10,10,79,14.31782106,20.22374842,A,3,NA
44300,19586,51,36,3,2,cell,97%,29,31,9,9,64,3.16227766,31.01612484,A,3,2
44301,19586,51,36,3,3,cell,97%,30,42,8,9,57,-8,42,B,3,NA
44302,19587,51,37,2,1,cell,96%,28,30,10,9,71,4.472135955,30.06659276,A,2,NA
44303,19587,51,37,2,2,cell,97%,28,40,9,9,64,-6.32455532,40.04996879,B,2,2
44304,19588,51,38,2,1,cell,96%,29,41,10,11,87,-7.071067812,41.01219331,B,2,NA
44305,19588,51,38,2,2,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,2,2
44306,19589,51,39,2,1,cell,96%,28,29,10,10,79,5.385164807,29.06888371,A,2,NA
44307,19589,51,39,2,2,cell,95%,29,40,10,10,79,-6.08276253,40.01249805,B,2,2
44308,19590,51,40,2,1,cell,96%,29,29,10,10,79,5.099019514,29.01723626,A,2,NA
44309,19590,51,40,2,2,cell,95%,29,40,8,9,57,-6.08276253,40.01249805,B,2,2
44310,19591,51,41,2,1,cell,96%,28,30,10,8,63,4.472135955,30.06659276,A,2,NA
44311,19591,51,41,2,2,cell,96%,29,38,6,6,29,-4.123105626,38.01315562,B,2,2
44312,19592,51,42,2,1,cell,97%,30,29,10,8,63,5,29,A,2,NA
44313,19592,51,42,2,2,cell,96%,30,38,7,7,39,-4,38,B,2,2
44314,19593,51,43,2,1,cell,95%,29,28,10,9,71,6.08276253,28.01785145,A,2,NA
44315,19593,51,43,2,2,cell,96%,28,39,7,8,44,-5.385164807,39.05124838,B,2,2
44316,19594,51,44,2,1,cell,96%,30,28,10,9,71,6,28,A,2,NA
44317,19594,51,44,2,2,cell,96%,29,39,7,8,44,-5.099019514,39.01281841,B,2,2
44318,19595,51,45,2,1,cell,96%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44319,19595,51,45,2,2,cell,96%,29,40,8,9,57,-6.08276253,40.01249805,B,2,2
44320,19596,51,46,2,1,cell,97%,28,29,10,9,71,5.385164807,29.06888371,A,2,NA
44321,19596,51,46,2,2,cell,96%,27,40,9,9,64,-6.708203932,40.11234224,B,2,2
44322,19597,51,47,2,1,cell,97%,29,30,10,9,71,4.123105626,30.01666204,A,2,NA
44323,19597,51,47,2,2,cell,95%,29,42,8,10,63,-8.062257748,42.01190308,B,2,2
44324,19598,51,48,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,2,NA
44325,19598,51,48,2,2,cell,96%,29,38,6,7,33,-4.123105626,38.01315562,B,2,2
44326,19599,51,49,2,1,cell,97%,30,30,10,8,63,4,30,A,2,NA
44327,19599,51,49,2,2,cell,97%,29,39,7,7,39,-5.099019514,39.01281841,B,2,2
44328,19600,51,50,2,1,cell,97%,30,29,11,10,87,5,29,A,2,NA
44329,19600,51,50,2,2,cell,96%,29,40,8,8,51,-6.08276253,40.01249805,B,2,2
44330,19601,51,51,2,1,cell,96%,29,29,10,9,71,5.099019514,29.01723626,A,2,NA
44331,19601,51,51,2,2,cell,96%,29,40,9,9,64,-6.08276253,40.01249805,B,2,2
44332,19602,51,52,2,1,cell,97%,30,41,10,10,79,-7,41,B,2,NA
44333,19602,51,52,2,2,cell,97%,30,30,10,10,79,4,30,A,2,2
44334,19603,51,53,2,1,cell,97%,29,29,10,10,79,5.099019514,29.01723626,A,2,1
44335,19603,51,53,2,2,cell,96%,29,41,10,10,79,-7.071067812,41.01219331,B,2,NA
44336,19604,51,54,1,1,cell,96%,29,29,11,9,78,5.099019514,29.01723626,A,1,2
44337,19605,51,55,2,1,cell,97%,30,29,10,9,71,5,29,A,1,NA
44338,19605,51,55,2,2,cell,96%,30,38,6,7,33,-4,38,B,1,2
44339,19606,51,56,2,1,cell,96%,30,29,10,9,71,5,29,A,2,NA
44340,19606,51,56,2,2,cell,96%,29,40,7,8,44,-6.08276253,40.01249805,B,2,2
44341,19607,51,57,2,1,cell,96%,29,29,9,9,64,5.099019514,29.01723626,A,2,NA
44342,19607,51,57,2,2,cell,96%,30,40,8,9,57,-6,40,B,2,2
44343,19608,51,58,2,1,cell,96%,29,30,10,9,71,4.123105626,30.01666204,A,2,NA
44344,19608,51,58,2,2,cell,96%,29,42,8,9,57,-8.062257748,42.01190308,B,2,2
44345,19609,51,59,2,1,cell,97%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44346,19609,51,59,2,2,cell,97%,30,40,10,10,79,-6,40,B,2,2
44347,19610,51,60,2,1,cell,98%,29,30,10,10,79,4.123105626,30.01666204,A,2,NA
44348,19610,51,60,2,2,cell,96%,29,42,9,10,71,-8.062257748,42.01190308,B,2,2
44349,19611,51,61,2,1,cell,96%,29,28,11,8,70,6.08276253,28.01785145,A,2,NA
44350,19611,51,61,2,2,cell,67%,29,36,5,5,20,-2.236067977,36.01388621,B,2,2
44351,19612,51,62,2,1,cell,96%,30,29,10,9,71,5,29,A,2,NA
44352,19612,51,62,2,2,cell,96%,29,39,7,7,39,-5.099019514,39.01281841,B,2,3
