"time_num","total_objs","dist"
1,1,5.09901951359278
2,2,-5.09901951359278
2,2,4
3,2,4.12310562561766
3,2,-5.09901951359278
4,2,4.47213595499958
4,2,-6.08276253029822
5,2,-5.09901951359278
5,2,6
6,2,5
6,2,-6
7,2,-6
7,2,5.09901951359278
8,2,-7.07106781186548
8,2,5
9,1,5.09901951359278
10,2,5
10,2,-4.12310562561766
11,2,-4.12310562561766
11,2,5
12,2,5.09901951359278
12,2,-6.08276253029822
13,2,-6.08276253029822
13,2,4
14,2,-6.08276253029822
14,2,5
15,2,5
15,2,-5.09901951359278
16,2,5
16,2,-6.08276253029822
17,2,5
17,2,-3.16227766016838
18,2,4
18,2,-4
19,2,5.09901951359278
19,2,-5.09901951359278
20,2,4
20,2,-6
21,2,-5.09901951359278
21,2,6.08276253029822
22,2,6.08276253029822
22,2,-5.09901951359278
23,2,6
23,2,-5.09901951359278
24,2,5.09901951359278
24,2,-7.07106781186548
25,2,5.09901951359278
25,2,-3.16227766016838
26,2,6
26,2,-3
27,2,5.09901951359278
27,2,-5.09901951359278
28,2,5.09901951359278
28,2,-5
29,2,5.09901951359278
29,2,-5.09901951359278
30,2,6.08276253029822
30,2,-5.09901951359278
31,2,6.08276253029822
31,2,-5.09901951359278
32,2,5
32,2,-6
33,2,5.09901951359278
33,2,-5
34,2,5
34,2,-5.09901951359278
35,2,5
35,2,-5.09901951359278
36,2,-5.09901951359278
36,2,5
37,2,5.09901951359278
37,2,-6.32455532033676
38,2,-7.07106781186548
38,2,5
39,2,-6.08276253029822
39,2,5.09901951359278
40,2,-6.08276253029822
40,2,6
41,2,4.12310562561766
41,2,-8.06225774829855
42,2,6
42,2,-3
43,2,5.09901951359278
43,2,-4.47213595499958
44,2,5.09901951359278
44,2,-6.08276253029822
45,2,5
45,2,-6
46,2,6.08276253029822
46,2,-5.09901951359278
47,2,-6.32455532033676
47,2,5.09901951359278
48,2,4.12310562561766
48,2,-8.06225774829855
49,2,6.08276253029822
49,2,-2.23606797749979
50,2,5.09901951359278
50,2,-4.12310562561766
51,2,5.09901951359278
51,2,-5.09901951359278
52,2,-6.08276253029822
52,2,5
53,2,-7.07106781186548
53,2,5
54,2,6.08276253029822
54,2,-7.07106781186548
55,2,6
55,2,-6
56,2,5.3851648071345
56,2,-6.08276253029822
57,3,6
57,3,-6.08276253029822
57,3,-3
58,2,6.32455532033676
58,2,-5.3851648071345
59,2,6.08276253029822
59,2,-4.12310562561766
60,2,6.08276253029822
60,2,-4.12310562561766
61,2,6.08276253029822
61,2,-5.09901951359278
62,2,7.07106781186548
62,2,-5.09901951359278
63,2,6.08276253029822
63,2,-5.3851648071345
64,2,6.08276253029822
64,2,-6.08276253029822
65,2,5.09901951359278
65,2,-6.08276253029822
66,2,5
66,2,-3
67,2,6.32455532033676
67,2,-5.3851648071345
68,2,7
68,2,-5.09901951359278
69,2,5
69,2,-5
70,2,7.28010988928052
70,2,-5.09901951359278
71,2,6.08276253029822
71,2,-5.3851648071345
72,2,6.08276253029822
72,2,-6.08276253029822
73,1,6.08276253029822
74,2,6
74,2,-2
75,2,7.07106781186548
75,2,-4.12310562561766
76,2,6.08276253029822
76,2,-5.09901951359278
77,2,6.08276253029822
77,2,-6
78,2,6
78,2,-6.08276253029822
79,2,7.07106781186548
79,2,-6.32455532033676
80,2,7.07106781186548
80,2,-6.08276253029822
81,2,7
81,2,-6.08276253029822
82,2,6.08276253029822
82,2,-7.07106781186548
83,2,7.07106781186548
83,2,-2.23606797749979
84,2,6.32455532033676
84,2,-4.12310562561766
85,2,7
85,2,-4.12310562561766
86,2,7
86,2,-5
87,2,6
87,2,-6
88,2,6.08276253029822
88,2,-6.08276253029822
89,2,7
89,2,-5
90,2,7.07106781186548
90,2,-7.07106781186548
91,2,7
91,2,-7
92,1,6.08276253029822
93,2,7.07106781186548
93,2,-2.23606797749979
94,2,7.07106781186548
94,2,-2.23606797749979
95,2,7.07106781186548
95,2,-4.12310562561766
96,2,6.08276253029822
96,2,-5.09901951359278
97,2,7.07106781186548
97,2,-5.09901951359278
98,2,6.32455532033676
98,2,-6.08276253029822
99,2,7.07106781186548
99,2,-5.09901951359278
100,2,7.07106781186548
100,2,-6.08276253029822
101,2,7.07106781186548
101,2,-5
102,2,8
102,2,-6
103,2,8.06225774829855
103,2,-6
104,2,7
104,2,-2
105,2,6.08276253029822
105,2,-4.12310562561766
106,2,7.07106781186548
106,2,-4.47213595499958
107,2,7.07106781186548
107,2,-5.09901951359278
108,2,7.07106781186548
108,2,-6.08276253029822
109,2,6.08276253029822
109,2,-6.08276253029822
110,2,7.28010988928052
110,2,-6.32455532033676
111,2,7.07106781186548
111,2,-6.08276253029822
112,2,7.28010988928052
112,2,-6.08276253029822
113,2,7.28010988928052
113,2,-6.08276253029822
114,2,8.06225774829855
114,2,-6
115,2,7.28010988928052
115,2,-7
116,2,7.28010988928052
116,2,-7
117,1,7
118,1,8.06225774829855
119,1,7.07106781186548
120,1,8.06225774829855
121,2,8.06225774829855
121,2,-2
122,2,8.24621125123532
122,2,-4.47213595499958
123,2,8
123,2,-5
124,2,9.05538513813742
124,2,-6.08276253029822
125,2,9.05538513813742
125,2,-6.08276253029822
126,2,8.06225774829855
126,2,-6.08276253029822
127,2,9.21954445729289
127,2,-6.32455532033676
128,2,7.07106781186548
128,2,-6.08276253029822
129,2,8.24621125123532
129,2,-6.32455532033676
130,2,8.06225774829855
130,2,-6.08276253029822
131,2,-8.54400374531753
131,2,7.07106781186548
132,2,-9.21954445729289
132,2,6
133,2,8.24621125123532
133,2,-8
134,3,-12.5299640861417
134,3,-9.48683298050514
